Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Spider-Man: No Way Home,"$1,832,966,707","$772,966,707",42.2%,"$1,060,000,000",57.8%
2,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
7,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",42.5%,"$288,500,000",57.5%
8,Godzilla vs. Kong,"$468,216,094","$100,916,094",21.6%,"$367,300,000",78.4%
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.9%,"$207,700,000",48.1%
10,Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
11,Dune,"$400,386,212","$108,042,253",27%,"$292,343,959",73%
12,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%
13,Sing 2,"$334,147,145","$148,671,145",44.5%,"$185,476,000",55.5%
14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%
15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
16,Encanto,"$243,832,492","$95,069,594",39%,"$148,762,898",61%
17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%
18,"My Country, My Parents","$221,701,823","$166,807",<0.1%,"$221,535,016",99.9%
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
20,Raging Fire,"$205,846,481","$385,305",0.2%,"$205,461,176",99.8%
21,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",32.5%,"$136,400,000",67.5%
22,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
23,Ghostbusters: Afterlife,"$197,126,645","$129,126,645",65.5%,"$68,000,000",34.5%
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
